%! This file is the old "azfwocm_jn98.txt" file with some gas info
%! added (2 August 2000) to the header before the (unchanged) main
%! data block.
%!
%! alpha:  3.1512297119580056E-02  6.6728680529010737E-02
%! 3.9241615312540203E-02  2.9047926354623648E-02  4.1561877744284582E-02
%!
%! New data header line (added 2 August 2000):
%!    NGAS    IDGAS1 IDGAS2 IDGAS3 ... IDGAS<NGAS>
%!
%! layer fixed       water         ozone    carbon monoxide  methane
%!---  -----------  -----------  -----------  -----------  -----------
% 5    2  1  3  5  6
 148  2.30138E-07  4.43464E-08  2.10590E-10  4.60637E-10  2.72117E-10
 149  2.37575E-07  4.74067E-08  2.19044E-10  4.74401E-10  2.83690E-10
 150  2.45251E-07  5.06782E-08  2.27836E-10  4.88570E-10  2.95753E-10
 151  2.53173E-07  5.41754E-08  2.36979E-10  5.03157E-10  3.08329E-10
 152  2.61348E-07  5.79140E-08  2.46489E-10  5.18174E-10  3.21439E-10
 153  2.69785E-07  6.19105E-08  2.56380E-10  5.33634E-10  3.35104E-10
 154  2.78492E-07  6.61828E-08  2.66666E-10  5.49549E-10  3.49350E-10
 155  2.87478E-07  7.07499E-08  2.77363E-10  5.65933E-10  3.64200E-10
 156  2.96752E-07  7.56322E-08  2.88489E-10  5.82801E-10  3.79681E-10
 157  3.06322E-07  8.08514E-08  3.00061E-10  6.00165E-10  3.95818E-10
 158  3.16199E-07  8.64308E-08  3.12095E-10  6.18041E-10  4.12640E-10
 159  3.26392E-07  9.23951E-08  3.24611E-10  6.36444E-10  4.30177E-10
 160  3.36911E-07  9.87710E-08  3.37628E-10  6.55390E-10  4.48457E-10
 161  3.47767E-07  1.05587E-07  3.51166E-10  6.74893E-10  4.67513E-10
 162  3.58970E-07  1.12873E-07  3.65245E-10  6.94972E-10  4.87378E-10
 163  3.70533E-07  1.20662E-07  3.79889E-10  7.15643E-10  5.08086E-10
 164  3.82465E-07  1.28989E-07  3.95118E-10  7.36922E-10  5.29672E-10
 165  3.94780E-07  1.37890E-07  4.10956E-10  7.58829E-10  5.52175E-10
 166  4.07488E-07  1.47405E-07  4.27429E-10  7.81382E-10  5.75633E-10
 167  4.20604E-07  1.57577E-07  4.44561E-10  8.04599E-10  6.00086E-10
 168  4.34139E-07  1.68451E-07  4.62378E-10  8.28501E-10  6.25577E-10
 169  4.48108E-07  1.80075E-07  4.80909E-10  8.53107E-10  6.52150E-10
 170  4.62524E-07  1.92501E-07  5.00181E-10  8.78438E-10  6.79850E-10
 171  4.77401E-07  2.05785E-07  5.20225E-10  9.04516E-10  7.08726E-10
 172  4.92755E-07  2.19985E-07  5.41070E-10  9.31363E-10  7.38827E-10
 173  5.08600E-07  2.35166E-07  5.62750E-10  9.59001E-10  7.70206E-10
 174  5.24952E-07  2.51394E-07  5.85298E-10  9.87453E-10  8.02916E-10
 175  5.41828E-07  2.68741E-07  6.08748E-10  1.01674E-09  8.37015E-10
 176  5.59245E-07  2.87286E-07  6.33137E-10  1.04690E-09  8.72560E-10
 177  5.77219E-07  3.07110E-07  6.58501E-10  1.07794E-09  9.09615E-10
 178  5.95768E-07  3.28303E-07  6.84881E-10  1.10990E-09  9.48241E-10
 179  6.14911E-07  3.50958E-07  7.12317E-10  1.14280E-09  9.88507E-10
 180  6.34667E-07  3.75176E-07  7.40850E-10  1.17667E-09  1.03048E-09
 181  6.55055E-07  4.01065E-07  7.70526E-10  1.21154E-09  1.07424E-09
 182  6.76096E-07  4.28741E-07  8.01389E-10  1.24743E-09  1.11985E-09
 183  6.97811E-07  4.58327E-07  8.33487E-10  1.28439E-09  1.16740E-09
 184  7.20221E-07  4.89954E-07  8.66870E-10  1.32243E-09  1.21697E-09
 185  7.43348E-07  5.23763E-07  9.01589E-10  1.36159E-09  1.26863E-09
 186  7.67216E-07  5.59906E-07  9.37698E-10  1.40191E-09  1.32250E-09
 187  7.91848E-07  5.98543E-07  9.75251E-10  1.44342E-09  1.37865E-09
